acronym	name	description	homepage	contact	released	administeredBy
MIM	Molecular Interaction Map	The Molecular Interaction Map (MIM) notation seeks to provide a standardized method to draw diagrams for bioregulatory networks with features similar to technical diagrams in other fields.\r\n\r\nThis vocabulary uses the term hierarchy from the Formal MIM Notation Specification. Where possible, Systems Biology Ontology (SBO) and Biological Pathway Exchange (BioPAX) terms and IRIs are used. If no SBO or BioPAX term is available, a new term and IRI are created.\r\n\r\nThis is currently only a partial implementation. Many elements still need to be added to cover the full the specification.	http://discover.nci.nih.gov/mim/	Anders Riutta	2014-10-30T00:00:00.000+00:00	https://data.bioontology.org/users/AlexanderPico;https://data.bioontology.org/users/wikipathways;https://data.bioontology.org/users/egonw
SEPON	Sepsis Ontology	The Sepsis Ontology (SEPON) is a disease-specific ontology that defines the concepts and relationships between concepts in the field of sepsis and related diseases, contributing to data standardization and providing precise and personalized diagnosis, treatment and prognosis recommandations for sepsis.		ZHANG CHI	2024-05-14T00:00:00.000+00:00	https://data.bioontology.org/users/zc1995
TMA	Tissue Microarray Ontology	Tissue microarrays (TMA) are enormously useful tools for translational research, but incompatibilities in database systems between various researchers and institutions prevent the efficient sharing of data that could help realize their full potential.  The Resource Description Framework (RDF) provides a flexible method to represent knowledge in triples, which take the form Subject-Predicate-Object.  All data resources are described using Uniform Resource Identifiers (URI), which are global in scope.  We present an OWL (Web Ontology Language) schema that expands upon the TMA data exchange specification to address this issue and assist in data sharing and integration.		Chuck Borromeo	2010-05-07T00:00:00.000-07:00	https://data.bioontology.org/users/cborromeo
TIMEBANK	Timebank Ontology	The Timebank Ontology is used to describe Timebank systems for Peer-to-Peer Service Exchange. A Timebank allows user to store virtual money, often called a Time Dollar, into a bank account. This virtual currency can be earned by helping fellow Timebank users and spent by requesting help from others. The main goal of the ontology is to facilitate the matching between helpers and requesters of help.	https://w3id.org/timebank	Tobias Grubenmann	2020-08-05T00:00:00.000+00:00	https://data.bioontology.org/users/tobias.grubenmann
NERO	Named Entity Recognition Ontology 	Named Entity Recognition Ontology (NERO) developed specifically for describing textual entities in biomedical texts, which accounts for diverse levels of ambiguity, bridging the scientific sublanguages of molecular biology, genetics, biochemistry, and medicine. The annotation of natural science texts is more challenging than in other domains. Biomedical language is replete with ambiguity distinct from that observed in news articles or informal text online. In biomedical texts, alternative meanings are not always clearly separated.\r\n\r\nFor example, in some biomedical contexts, the words for a named entity may refer to a gene or a protein with nearly equal probability; for example, “a mutant hemoglobin α_2” can refer to either a gene or a protein. If the author meant gene-or-protein A, and we force an annotator to choose either interpretation gene A or protein A, the resulting annotation is of limited utility because the choice between gene and protein is random if the meanings are equally likely based on context. NERO attempts to minimize unwarranted, arbitrary annotative semantic label assignments for textual entities. \r\n\r\nNERO defines ambiguous concepts, such as GeneOrProtein, which subsumes both Gene and Protein using the following axiom: EquivalentTo: ‘Gene’ or ‘Protein.’ There are no biological entities that are either a gene or a protein, but there are lexical entities that can correspond to either or both of these entities.\r\n		Prof. Robert Stevens	2021-04-28T00:00:00.000+00:00	https://data.bioontology.org/users/Larisa
N-CDOH	Non Clinical Determinants of Health	Supporting ontology reuse by integrating CDoH with an existing SDoH ontology. We are presenting an overarching conception for all non-clinical determinants of health (N-CDoH).		Navya	2023-03-14T00:00:00.000+00:00	https://data.bioontology.org/users/vipinakk;https://data.bioontology.org/users/Navya;https://data.bioontology.org/users/geller
OCD	OCD ontology	The Obsessive Compulsive Disorder Ontology (OCD) is a domain-specific ontology for representing the knowledge of OCD.		Areej 	2022-12-21T00:00:00.000+00:00	https://data.bioontology.org/users/Areej+Nasser
OCDM	Ontology of Craniofacial Development and Malformation	The Ontology of Craniofacial Development and Malformation (OCDM) is a mechanism for representing knowledge about craniofacial development and malformation, and for using that knowledge to facilitate integrating craniofacial data obtained via multiple techniques from multiple labs and at multiple levels of granularity. The OCDM is a project of the NIDCR-sponsored FaceBase Consortium, whose goal is to promote and enable research into the genetic and epigenetic causes of specific craniofacial abnormalities through the provision of publicly accessible, integrated craniofacial data. 	https://www.facebase.org/ocdm/	Todd Detwiler	2023-11-08T18:10:42.000-08:00	https://data.bioontology.org/users/detwiler
CEDARPC	CEDAR Provisional Classes	CEDAR Provisional Classes	http://metadatacenter.org/	Marcos Martinez Romero	2016-04-15T00:00:00.000+00:00	https://data.bioontology.org/users/cedar-mjd;https://data.bioontology.org/users/cedar-test;https://data.bioontology.org/users/cedar
WSM-LIBRARY	MWS					https://data.bioontology.org/users/123
MNV	VODANA Migrants	migrants ontologies		Ghardallou	2021-07-21T00:00:00.000+00:00	https://data.bioontology.org/users/Ghardallou
NIST_GEL	NIST Genome Editing Lexicon	Genome editing technology is a fast-growing and rapidly advancing global bioscience field with applications in many biotechnology sectors. Genome editing is used to modify the nucleic acids of a genetic code, which can be composed of DNA or RNA, in a site-specific manner. Modifications can include insertion, deletion or alteration of nucleic acids. The technology operates by biochemical principles generally applicable to every kind of cell. Examples of genome editing technology applications with global significance include human cell-based therapeutics, agriculture, microbial based therapeutics, synthetic biology and biomanufacturing. While genome editing technology is being actively utilized, there is a need for international standardization in terms and definitions for this field, so as to enhance interpretation and communication of concepts, data and results. This document has been developed to provide a unified standard set of terms and definitions that serve the needs of biotechnology stakeholders and act as a reference for genome editing technology.	https://www.nist.gov/programs-projects/nist-genome-editing-lexicon	Sierra D. Miller	2020-11-23T00:00:00.000+00:00	https://data.bioontology.org/users/sdmiller
FAST-FORMGENRE	FAST (Faceted Application of Subject Terminology) FormGenre facet	FAST is an enumerative, faceted subject heading schema derived from the Library of Congress Subject Headings (LCSH). The purpose of adapting the LCSH with a simplified syntax to create FAST is to retain the very rich vocabulary of LCSH while making the schema easier to understand, control, apply, and use.		Michelle Futornick	2017-04-14T00:00:00.000+00:00	https://data.bioontology.org/users/michelle
CVDO	Cardiovascular Disease Ontology	CVDO is an ontology based on the OGMS model of disease, designed to describe entities related to cardiovascular diseases (including the diseases themselves, the underlying disorders, and the related pathological processes). It is being developed at Sherbrooke University (Canada) and the INSERM research institute (Institut National de la Santé et de la Recherche Médicale).	https://github.com/OpenLHS/CVDO	Adrien Barton	2024-06-17T18:03:20.000+00:00	https://data.bioontology.org/users/vendetti
SPTO	Solanaceae Phenotype Ontology	Solanaceae crop phenotypes and traits, developed in collaboration with the research community, especially for breeder traits of agronomic importance.	http://solgenomics.net	Naama Menda	2023-09-12T21:13:10.000-07:00	https://data.bioontology.org/users/nm249
GALEN	Galen Ontology	A translation of the full Galen ontology (from the OpenGALEN project) into the OWL description logic.	http://www.co-ode.org/galen/	Julian Seidenberg	2007-01-09T00:00:00.000-08:00	https://data.bioontology.org/users/admin
BIOMODELS	BioModels Ontology	OWL Representation of the models in the BioModels repository.	https://code.google.com/p/sbmlharvester/	Robert Hoehndorf	2012-03-01T00:00:00.000-08:00	https://data.bioontology.org/users/leechuck
PREGONTO	Pregnancy Ontology	The pregnancy ontology is a biomedical ontology used for identifying pregnancies in routine health databases. The ontology was primarily developed for conducting surveillance of vaccine uptake in pregnant women in the UK.		Harshana Liyanage	2018-10-31T00:00:00.000+00:00	https://data.bioontology.org/users/harshanal;https://data.bioontology.org/users/vendetti
URL	URL ONTOLOGY	The URL Ontology provides a structured framework to standardize the description of APIs and their endpoints within the biomedical research domain. It details components such as API functionalities, HTTP methods, and URL structures, aimed at enhancing data interoperability and facilitating precise, automated interactions across diverse data systems. By integrating detailed annotations of request-response mechanisms and security protocols, this ontology supports efficient data curation, retrieval, and integration, thereby improving the semantic alignment of biomedical web services.		Francis Kiptengwer Chemorion	2024-09-12T00:00:00.000+00:00	https://data.bioontology.org/users/kchemorion
